strategy,wins,losses,draws
"[[1.0, 1.0, 21.0], [1.0, 1.0, 21.0], [21.0, 21.0, 12.0]]",3750,994,604
"[[1.0, 1.0, 21.0], [1.0, 1.0, 21.0], [21.0, 21.0, 12.0]]",3750,994,604
"[[1.0, 1.0, 1.0], [1.0, 21.0, 21.0], [12.0, 21.0, 21.0]]",3748,1098,502
"[[12.0, 13.0, 21.0], [3.0, 13.0, 2.0], [2.0, 21.0, 13.0]]",3747,1145,456
"[[21.0, 1.0, 21.0], [1.0, 1.0, 21.0], [21.0, 12.0, 1.0]]",3747,1065,536
"[[22.0, 2.0, 18.0], [2.0, 23.0, 12.0], [2.0, 3.0, 16.0]]",3745,1141,462
"[[21.0, 1.0, 21.0], [1.0, 1.0, 21.0], [12.0, 21.0, 1.0]]",3743,1070,535
"[[0.0, 1.0, 13.0], [21.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3742,1127,479
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [12.0, 21.0, 1.0]]",3741,1034,573
"[[1.0, 21.0, 1.0], [21.0, 1.0, 21.0], [12.0, 1.0, 21.0]]",3741,999,608
"[[1.0, 1.0, 1.0], [21.0, 21.0, 21.0], [12.0, 21.0, 1.0]]",3741,1034,573
"[[6.0, 12.0, 6.0], [22.0, 2.0, 22.0], [12.0, 6.0, 12.0]]",3737,1238,373
"[[1.0, 21.0, 21.0], [1.0, 1.0, 21.0], [12.0, 1.0, 21.0]]",3734,1030,584
"[[1.0, 1.0, 12.0], [21.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3734,1110,504
"[[1.0, 1.0, 12.0], [21.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3734,1110,504
"[[1.0, 1.0, 12.0], [21.0, 21.0, 21.0], [21.0, 1.0, 1.0]]",3734,1110,504
"[[1.0, 1.0, 21.0], [12.0, 21.0, 21.0], [1.0, 21.0, 1.0]]",3727,1047,574
"[[1.0, 1.0, 1.0], [18.0, 21.0, 17.0], [21.0, 1.0, 19.0]]",3727,1153,468
"[[1.0, 12.0, 24.0], [12.0, 23.0, 2.0], [23.0, 1.0, 2.0]]",3722,1207,419
