strategy,wins,losses,draws
"[[20.0, 15.0, 6.0], [15.0, 20.0, 6.0], [6.0, 6.0, 6.0]]",2861,1759,728
"[[0.0, 21.0, 20.0], [19.0, 0.0, 21.0], [19.0, 0.0, 0.0]]",2861,1638,849
"[[19.0, 1.0, 19.0], [20.0, 1.0, 19.0], [1.0, 19.0, 1.0]]",2860,1666,822
"[[22.0, 22.0, 22.0], [22.0, 0.0, 0.0], [0.0, 6.0, 6.0]]",2860,2108,380
"[[19.0, 19.0, 1.0], [19.0, 1.0, 19.0], [1.0, 19.0, 2.0]]",2860,2116,372
"[[5.0, 32.0, 33.0], [5.0, 5.0, 5.0], [5.0, 5.0, 5.0]]",2859,2393,96
"[[23.0, 23.0, 1.0], [2.0, 2.0, 1.0], [2.0, 23.0, 23.0]]",2859,2205,284
"[[18.0, 18.0, 18.0], [18.0, 18.0, 4.0], [3.0, 2.0, 1.0]]",2858,2120,370
"[[18.0, 18.0, 18.0], [18.0, 18.0, 4.0], [3.0, 2.0, 1.0]]",2858,2120,370
"[[5.0, 33.0, 32.0], [5.0, 5.0, 5.0], [5.0, 5.0, 5.0]]",2857,2394,97
"[[5.0, 10.0, 5.0], [10.0, 40.0, 10.0], [5.0, 10.0, 5.0]]",2856,2335,157
"[[5.0, 10.0, 5.0], [10.0, 40.0, 10.0], [5.0, 10.0, 5.0]]",2856,2335,157
"[[5.0, 10.0, 5.0], [10.0, 40.0, 10.0], [5.0, 10.0, 5.0]]",2856,2335,157
"[[5.0, 20.0, 15.0], [15.0, 28.0, 10.0], [1.0, 1.0, 5.0]]",2856,1674,818
"[[6.0, 20.0, 20.0], [20.0, 30.0, 1.0], [1.0, 1.0, 1.0]]",2855,2106,387
"[[1.0, 1.0, 24.0], [24.0, 23.0, 1.0], [1.0, 24.0, 1.0]]",2855,2192,301
"[[5.0, 4.0, 8.0], [7.0, 9.0, 4.0], [26.0, 27.0, 10.0]]",2854,2360,134
"[[17.0, 17.0, 17.0], [17.0, 17.0, 12.0], [1.0, 1.0, 1.0]]",2854,2251,243
"[[15.0, 4.0, 17.0], [16.0, 19.0, 11.0], [3.0, 12.0, 3.0]]",2854,1899,595
"[[17.0, 17.0, 17.0], [17.0, 17.0, 12.0], [1.0, 1.0, 1.0]]",2854,2251,243
"[[5.0, 5.0, 5.0], [14.0, 14.0, 14.0], [14.0, 15.0, 14.0]]",2853,2319,176
"[[4.0, 5.0, 14.0], [6.0, 12.0, 16.0], [13.0, 15.0, 15.0]]",2852,2139,357
"[[1.0, 18.0, 18.0], [18.0, 18.0, 18.0], [1.0, 7.0, 1.0]]",2852,2254,242
"[[9.0, 8.0, 10.0], [25.0, 25.0, 1.0], [20.0, 1.0, 1.0]]",2852,2079,417
"[[20.0, 4.0, 20.0], [4.0, 4.0, 4.0], [20.0, 4.0, 20.0]]",2852,2097,399
"[[15.0, 16.0, 15.0], [16.0, 15.0, 16.0], [2.0, 3.0, 2.0]]",2852,2232,264
"[[1.0, 1.0, 1.0], [8.0, 1.0, 22.0], [22.0, 22.0, 22.0]]",2851,2238,259
"[[1.0, 1.0, 1.0], [24.0, 24.0, 24.0], [23.0, 1.0, 1.0]]",2851,2213,284
"[[20.0, 25.0, 10.0], [20.0, 21.0, 1.0], [1.0, 1.0, 1.0]]",2851,1923,574
"[[1.0, 1.0, 1.0], [1.0, 21.0, 24.0], [3.0, 24.0, 24.0]]",2850,2173,325
"[[0.0, 0.0, 0.0], [0.0, 25.0, 20.0], [20.0, 15.0, 20.0]]",2850,1652,846
"[[10.0, 4.0, 10.0], [10.0, 33.0, 10.0], [10.0, 3.0, 10.0]]",2850,2306,192
"[[1.0, 1.0, 19.0], [1.0, 1.0, 19.0], [20.0, 19.0, 19.0]]",2849,1782,717
"[[20.0, 20.0, 20.0], [20.0, 0.0, 5.0], [5.0, 5.0, 5.0]]",2849,2021,478
"[[0.0, 26.0, 11.0], [11.0, 21.0, 11.0], [11.0, 6.0, 3.0]]",2848,1963,537
"[[0.0, 21.0, 18.0], [20.0, 0.0, 22.0], [19.0, 0.0, 0.0]]",2846,1649,853
"[[19.0, 4.0, 3.0], [18.0, 19.0, 3.0], [19.0, 14.0, 1.0]]",2846,2051,451
"[[2.0, 22.0, 2.0], [2.0, 18.0, 18.0], [2.0, 32.0, 2.0]]",2845,2298,205
"[[1.0, 21.0, 20.0], [1.0, 20.0, 7.0], [19.0, 10.0, 1.0]]",2845,1782,721
"[[2.0, 19.0, 19.0], [19.0, 19.0, 19.0], [1.0, 1.0, 1.0]]",2845,2193,310
"[[21.0, 0.0, 21.0], [21.0, 16.0, 0.0], [0.0, 0.0, 21.0]]",2844,1702,802
"[[1.0, 1.0, 16.0], [16.0, 7.0, 16.0], [16.0, 11.0, 16.0]]",2844,2216,288
"[[5.0, 5.0, 5.0], [5.0, 20.0, 30.0], [10.0, 10.0, 10.0]]",2843,1887,618
"[[1.0, 19.0, 1.0], [19.0, 1.0, 19.0], [1.0, 19.0, 20.0]]",2842,1748,758
"[[13.0, 13.0, 13.0], [15.0, 15.0, 15.0], [5.0, 6.0, 5.0]]",2841,2262,245
"[[3.0, 6.0, 2.0], [3.0, 6.0, 20.0], [20.0, 20.0, 20.0]]",2840,2194,314
"[[1.0, 2.0, 1.0], [16.0, 16.0, 16.0], [16.0, 16.0, 16.0]]",2840,2138,370
"[[20.0, 10.0, 10.0], [10.0, 30.0, 12.0], [4.0, 2.0, 2.0]]",2840,2014,494
"[[1.0, 1.0, 19.0], [1.0, 1.0, 19.0], [19.0, 19.0, 20.0]]",2839,1774,735
"[[16.0, 15.0, 15.0], [3.0, 15.0, 3.0], [15.0, 3.0, 15.0]]",2839,2226,283
"[[1.0, 1.0, 19.0], [1.0, 1.0, 19.0], [19.0, 19.0, 20.0]]",2839,1774,735
"[[2.0, 12.0, 13.0], [14.0, 15.0, 16.0], [17.0, 5.0, 6.0]]",2838,2096,414
"[[19.0, 2.0, 19.0], [19.0, 1.0, 1.0], [19.0, 1.0, 19.0]]",2837,2144,367
"[[1.0, 1.0, 18.0], [3.0, 18.0, 18.0], [5.0, 18.0, 18.0]]",2837,2203,308
"[[2.0, 1.0, 1.0], [16.0, 16.0, 16.0], [16.0, 16.0, 16.0]]",2834,2132,382
"[[14.0, 15.0, 16.0], [15.0, 4.0, 5.0], [16.0, 5.0, 10.0]]",2834,2178,336
"[[2.0, 1.0, 1.0], [16.0, 16.0, 16.0], [16.0, 16.0, 16.0]]",2834,2132,382
"[[12.0, 13.0, 14.0], [15.0, 16.0, 17.0], [4.0, 4.0, 5.0]]",2833,2081,434
"[[1.0, 19.0, 1.0], [19.0, 1.0, 20.0], [19.0, 1.0, 19.0]]",2833,1671,844
"[[12.0, 13.0, 14.0], [15.0, 16.0, 17.0], [4.0, 4.0, 5.0]]",2833,2081,434
"[[5.0, 15.0, 20.0], [4.0, 15.0, 5.0], [21.0, 5.0, 10.0]]",2831,1612,905
"[[17.0, 15.0, 10.0], [2.0, 2.0, 18.0], [17.0, 14.0, 5.0]]",2831,2110,407
"[[4.0, 5.0, 13.0], [13.0, 13.0, 13.0], [13.0, 13.0, 13.0]]",2830,2350,168
"[[21.0, 20.0, 21.0], [18.0, 20.0, 0.0], [0.0, 0.0, 0.0]]",2830,1767,751
"[[16.0, 3.0, 15.0], [15.0, 3.0, 15.0], [15.0, 3.0, 15.0]]",2830,2200,318
"[[16.0, 3.0, 15.0], [15.0, 3.0, 15.0], [15.0, 3.0, 15.0]]",2830,2200,318
"[[13.0, 13.0, 22.0], [0.0, 0.0, 13.0], [13.0, 13.0, 13.0]]",2828,1993,527
"[[21.0, 21.0, 21.0], [0.0, 0.0, 4.0], [21.0, 4.0, 8.0]]",2827,1978,543
"[[21.0, 21.0, 21.0], [0.0, 0.0, 4.0], [21.0, 4.0, 8.0]]",2827,1978,543
"[[17.0, 6.0, 3.0], [16.0, 13.0, 12.0], [15.0, 14.0, 4.0]]",2826,2125,397
"[[19.0, 1.0, 19.0], [19.0, 21.0, 1.0], [0.0, 1.0, 19.0]]",2826,1595,927
"[[15.0, 3.0, 15.0], [3.0, 15.0, 4.0], [15.0, 15.0, 15.0]]",2826,2209,313
"[[12.0, 12.0, 12.0], [16.0, 16.0, 16.0], [4.0, 8.0, 4.0]]",2825,2141,382
"[[1.0, 1.0, 1.0], [19.0, 19.0, 19.0], [19.0, 2.0, 19.0]]",2824,2153,371
"[[0.0, 20.0, 0.0], [19.0, 0.0, 20.0], [0.0, 20.0, 21.0]]",2822,1859,667
"[[4.0, 24.0, 5.0], [2.0, 9.0, 28.0], [19.0, 8.0, 1.0]]",2822,2103,423
"[[2.0, 2.0, 2.0], [6.0, 12.0, 12.0], [19.0, 19.0, 26.0]]",2822,2049,477
"[[1.0, 1.0, 1.0], [16.0, 16.0, 16.0], [16.0, 16.0, 17.0]]",2821,2217,310
"[[1.0, 1.0, 1.0], [16.0, 16.0, 16.0], [16.0, 16.0, 17.0]]",2821,2217,310
"[[6.0, 14.0, 14.0], [5.0, 14.0, 14.0], [5.0, 14.0, 14.0]]",2821,2340,187
"[[1.0, 1.0, 1.0], [16.0, 16.0, 16.0], [16.0, 16.0, 17.0]]",2821,2217,310
"[[6.0, 14.0, 14.0], [5.0, 14.0, 14.0], [5.0, 14.0, 14.0]]",2821,2340,187
"[[1.0, 19.0, 19.0], [19.0, 20.0, 1.0], [19.0, 1.0, 1.0]]",2821,1431,1096
"[[1.0, 0.0, 18.0], [20.0, 20.0, 1.0], [20.0, 20.0, 0.0]]",2820,1385,1143
"[[20.0, 20.0, 20.0], [5.0, 20.0, 5.0], [5.0, 0.0, 5.0]]",2819,1939,590
"[[3.0, 8.0, 21.0], [6.0, 8.0, 18.0], [9.0, 12.0, 15.0]]",2818,2116,414
"[[1.0, 19.0, 19.0], [19.0, 20.0, 19.0], [1.0, 1.0, 1.0]]",2818,1423,1107
"[[12.0, 13.0, 14.0], [15.0, 16.0, 17.0], [6.0, 3.0, 4.0]]",2815,2093,440
"[[21.0, 5.0, 20.0], [5.0, 1.0, 5.0], [20.0, 3.0, 20.0]]",2815,1979,554
"[[12.0, 13.0, 14.0], [15.0, 16.0, 17.0], [6.0, 3.0, 4.0]]",2815,2093,440
"[[21.0, 1.0, 12.0], [1.0, 12.0, 1.0], [21.0, 10.0, 21.0]]",2815,1724,809
"[[1.0, 19.0, 1.0], [19.0, 19.0, 19.0], [2.0, 19.0, 1.0]]",2814,2163,371
"[[1.0, 19.0, 1.0], [19.0, 19.0, 19.0], [2.0, 19.0, 1.0]]",2814,2163,371
"[[1.0, 19.0, 1.0], [19.0, 19.0, 19.0], [2.0, 19.0, 1.0]]",2814,2163,371
"[[1.0, 19.0, 1.0], [19.0, 19.0, 19.0], [2.0, 19.0, 1.0]]",2814,2163,371
"[[1.0, 19.0, 1.0], [19.0, 20.0, 19.0], [1.0, 19.0, 1.0]]",2813,1454,1081
"[[15.0, 4.0, 15.0], [3.0, 15.0, 3.0], [15.0, 15.0, 15.0]]",2813,2199,336
"[[15.0, 3.0, 3.0], [15.0, 15.0, 4.0], [15.0, 15.0, 15.0]]",2813,2203,332
"[[1.0, 19.0, 1.0], [19.0, 20.0, 19.0], [1.0, 19.0, 1.0]]",2813,1454,1081
"[[1.0, 19.0, 1.0], [19.0, 20.0, 19.0], [1.0, 19.0, 1.0]]",2813,1454,1081
"[[1.0, 19.0, 1.0], [19.0, 20.0, 19.0], [1.0, 19.0, 1.0]]",2813,1454,1081
"[[1.0, 19.0, 1.0], [19.0, 20.0, 19.0], [1.0, 19.0, 1.0]]",2813,1454,1081
"[[5.0, 5.0, 5.0], [20.0, 5.0, 5.0], [20.0, 15.0, 20.0]]",2813,1779,756
"[[1.0, 19.0, 1.0], [19.0, 20.0, 19.0], [1.0, 19.0, 1.0]]",2813,1454,1081
"[[1.0, 0.0, 20.0], [0.0, 22.0, 6.0], [23.0, 6.0, 21.0]]",2813,1973,562
"[[22.0, 22.0, 22.0], [0.0, 22.0, 0.0], [0.0, 6.0, 6.0]]",2811,2116,421
"[[12.0, 13.0, 14.0], [15.0, 16.0, 17.0], [3.0, 4.0, 6.0]]",2810,2093,445
"[[15.0, 3.0, 15.0], [4.0, 15.0, 3.0], [15.0, 15.0, 15.0]]",2810,2200,338
"[[30.0, 25.0, 5.0], [20.0, 2.0, 3.0], [2.0, 6.0, 7.0]]",2810,2165,373
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[21.0, 2.0, 2.0], [2.0, 2.0, 17.0], [2.0, 31.0, 21.0]]",2808,2305,235
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[21.0, 21.0, 21.0], [19.0, 18.0, 0.0], [0.0, 0.0, 0.0]]",2808,2025,515
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[21.0, 21.0, 21.0], [21.0, 12.0, 4.0], [0.0, 0.0, 0.0]]",2808,1754,786
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[17.0, 7.0, 3.0], [14.0, 18.0, 2.0], [15.0, 5.0, 19.0]]",2808,2078,462
"[[1.0, 1.0, 1.0], [1.0, 20.0, 19.0], [19.0, 19.0, 19.0]]",2808,1413,1127
"[[21.0, 21.0, 21.0], [19.0, 18.0, 0.0], [0.0, 0.0, 0.0]]",2808,2025,515
"[[7.0, 7.0, 7.0], [14.0, 13.0, 13.0], [13.0, 13.0, 13.0]]",2807,2415,126
"[[20.0, 5.0, 10.0], [10.0, 20.0, 5.0], [5.0, 5.0, 20.0]]",2807,1887,654
"[[7.0, 7.0, 7.0], [14.0, 13.0, 13.0], [13.0, 13.0, 13.0]]",2807,2415,126
"[[19.0, 0.0, 21.0], [0.0, 21.0, 0.0], [20.0, 0.0, 19.0]]",2806,1775,767
"[[13.0, 14.0, 15.0], [16.0, 17.0, 18.0], [3.0, 1.0, 3.0]]",2806,2124,418
"[[1.0, 1.0, 1.0], [16.0, 16.0, 16.0], [16.0, 17.0, 16.0]]",2806,2209,333
"[[20.0, 20.0, 20.0], [18.0, 22.0, 0.0], [0.0, 0.0, 0.0]]",2806,1712,830
"[[14.0, 6.0, 20.0], [5.0, 14.0, 6.0], [14.0, 6.0, 15.0]]",2805,1671,872
"[[15.0, 15.0, 3.0], [15.0, 15.0, 3.0], [15.0, 15.0, 4.0]]",2804,2219,325
"[[15.0, 15.0, 3.0], [15.0, 15.0, 3.0], [15.0, 15.0, 4.0]]",2804,2219,325
"[[17.0, 5.0, 17.0], [5.0, 17.0, 0.0], [17.0, 5.0, 17.0]]",2803,2220,325
"[[17.0, 5.0, 17.0], [5.0, 17.0, 0.0], [17.0, 5.0, 17.0]]",2803,2220,325
"[[20.0, 15.0, 20.0], [6.0, 15.0, 6.0], [6.0, 6.0, 6.0]]",2803,2060,485
"[[20.0, 15.0, 20.0], [6.0, 15.0, 6.0], [6.0, 6.0, 6.0]]",2803,2060,485
"[[17.0, 5.0, 17.0], [5.0, 17.0, 0.0], [17.0, 5.0, 17.0]]",2803,2220,325
"[[13.0, 3.0, 13.0], [3.0, 14.0, 14.0], [13.0, 14.0, 13.0]]",2802,2438,108
"[[4.0, 4.0, 4.0], [4.0, 4.0, 20.0], [20.0, 20.0, 20.0]]",2802,2219,327
"[[4.0, 4.0, 4.0], [4.0, 4.0, 20.0], [20.0, 20.0, 20.0]]",2802,2219,327
"[[4.0, 4.0, 13.0], [13.0, 13.0, 13.0], [13.0, 13.0, 14.0]]",2802,2375,171
"[[1.0, 1.0, 2.0], [16.0, 16.0, 16.0], [16.0, 16.0, 16.0]]",2802,2160,386
"[[1.0, 1.0, 2.0], [16.0, 16.0, 16.0], [16.0, 16.0, 16.0]]",2802,2160,386
"[[2.0, 1.0, 1.0], [1.0, 19.0, 19.0], [19.0, 19.0, 19.0]]",2801,2198,349
"[[1.0, 19.0, 1.0], [19.0, 19.0, 19.0], [1.0, 19.0, 2.0]]",2801,2166,381
"[[15.0, 3.0, 16.0], [15.0, 16.0, 3.0], [16.0, 1.0, 15.0]]",2800,2168,380
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 20.0, 1.0], [1.0, 1.0, 1.0]]",2797,1475,1076
"[[19.0, 19.0, 19.0], [19.0, 19.0, 1.0], [1.0, 2.0, 1.0]]",2796,2195,357
"[[15.0, 1.0, 30.0], [1.0, 15.0, 1.0], [20.0, 2.0, 15.0]]",2795,1846,707
"[[1.0, 16.0, 16.0], [16.0, 1.0, 17.0], [1.0, 16.0, 16.0]]",2794,2266,288
"[[20.0, 21.0, 19.0], [19.0, 21.0, 0.0], [0.0, 0.0, 0.0]]",2793,1771,784
"[[16.0, 8.0, 16.0], [2.0, 16.0, 2.0], [16.0, 8.0, 16.0]]",2793,2205,350
"[[19.0, 19.0, 19.0], [20.0, 19.0, 1.0], [1.0, 1.0, 1.0]]",2793,1769,786
"[[19.0, 19.0, 19.0], [20.0, 19.0, 1.0], [1.0, 1.0, 1.0]]",2793,1769,786
"[[1.0, 4.0, 4.0], [18.0, 18.0, 1.0], [18.0, 18.0, 18.0]]",2793,2144,411
"[[20.0, 19.0, 19.0], [19.0, 1.0, 1.0], [1.0, 1.0, 19.0]]",2791,1786,771
"[[20.0, 19.0, 19.0], [19.0, 1.0, 1.0], [1.0, 1.0, 19.0]]",2791,1786,771
"[[5.0, 8.0, 7.0], [10.0, 40.0, 10.0], [3.0, 7.0, 10.0]]",2791,2361,196
"[[20.0, 20.0, 20.0], [19.0, 21.0, 0.0], [0.0, 0.0, 0.0]]",2791,1626,931
"[[20.0, 20.0, 20.0], [19.0, 21.0, 0.0], [0.0, 0.0, 0.0]]",2791,1626,931
"[[1.0, 1.0, 1.0], [2.0, 19.0, 19.0], [19.0, 19.0, 19.0]]",2790,2198,360
"[[1.0, 19.0, 1.0], [19.0, 19.0, 20.0], [1.0, 19.0, 1.0]]",2790,1815,743
"[[0.0, 0.0, 1.0], [1.0, 18.0, 20.0], [20.0, 20.0, 20.0]]",2790,1697,861
"[[1.0, 1.0, 1.0], [2.0, 19.0, 19.0], [19.0, 19.0, 19.0]]",2790,2198,360
"[[1.0, 1.0, 1.0], [24.0, 24.0, 24.0], [1.0, 23.0, 1.0]]",2789,2232,327
"[[1.0, 16.0, 16.0], [16.0, 16.0, 16.0], [16.0, 2.0, 1.0]]",2788,2204,356
"[[2.0, 16.0, 16.0], [0.0, 16.0, 16.0], [16.0, 16.0, 2.0]]",2787,2189,372
"[[10.0, 20.0, 30.0], [6.0, 7.0, 6.0], [7.0, 7.0, 7.0]]",2787,2214,347
"[[1.0, 1.0, 23.0], [1.0, 1.0, 24.0], [24.0, 24.0, 1.0]]",2786,2157,405
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 3.0, 4.0]]",2786,2248,314
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 3.0, 4.0]]",2786,2248,314
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 3.0, 4.0]]",2786,2248,314
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 3.0, 4.0]]",2786,2248,314
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 3.0, 4.0]]",2786,2248,314
"[[22.0, 0.0, 22.0], [22.0, 0.0, 7.0], [9.0, 9.0, 9.0]]",2785,2146,417
"[[3.0, 3.0, 20.0], [4.0, 15.0, 10.0], [25.0, 15.0, 5.0]]",2785,1692,871
"[[5.0, 13.0, 13.0], [13.0, 13.0, 13.0], [11.0, 13.0, 6.0]]",2785,2381,182
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 20.0, 19.0], [1.0, 1.0, 1.0], [19.0, 1.0, 19.0]]",2784,1804,760
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[14.0, 14.0, 14.0], [14.0, 14.0, 14.0], [5.0, 6.0, 5.0]]",2784,2397,167
"[[12.0, 8.0, 11.0], [16.0, 2.0, 17.0], [24.0, 2.0, 8.0]]",2784,1847,717
"[[19.0, 19.0, 19.0], [19.0, 19.0, 2.0], [1.0, 1.0, 1.0]]",2784,2219,345
"[[14.0, 14.0, 14.0], [14.0, 14.0, 14.0], [5.0, 6.0, 5.0]]",2784,2397,167
"[[15.0, 15.0, 15.0], [3.0, 15.0, 3.0], [15.0, 15.0, 4.0]]",2783,2234,331
"[[27.0, 20.0, 0.0], [4.0, 9.0, 22.0], [10.0, 3.0, 5.0]]",2783,2008,557
"[[15.0, 15.0, 15.0], [3.0, 15.0, 15.0], [4.0, 3.0, 15.0]]",2783,2228,337
"[[2.0, 11.0, 11.0], [11.0, 16.0, 11.0], [11.0, 21.0, 6.0]]",2782,1883,683
"[[1.0, 1.0, 19.0], [1.0, 20.0, 19.0], [19.0, 19.0, 1.0]]",2782,1445,1121
"[[1.0, 1.0, 16.0], [17.0, 16.0, 16.0], [16.0, 16.0, 1.0]]",2782,2235,331
"[[19.0, 19.0, 19.0], [19.0, 19.0, 1.0], [1.0, 1.0, 2.0]]",2780,2191,377
"[[19.0, 19.0, 19.0], [19.0, 19.0, 1.0], [1.0, 1.0, 2.0]]",2780,2191,377
"[[19.0, 19.0, 19.0], [19.0, 19.0, 1.0], [1.0, 1.0, 2.0]]",2780,2191,377
"[[19.0, 19.0, 19.0], [19.0, 19.0, 1.0], [1.0, 1.0, 2.0]]",2780,2191,377
"[[19.0, 19.0, 19.0], [19.0, 19.0, 1.0], [1.0, 1.0, 2.0]]",2780,2191,377
"[[19.0, 1.0, 19.0], [19.0, 2.0, 1.0], [19.0, 1.0, 19.0]]",2779,2189,380
"[[27.0, 2.0, 2.0], [18.0, 18.0, 2.0], [2.0, 11.0, 18.0]]",2779,1954,615
"[[12.0, 15.0, 0.0], [0.0, 24.0, 5.0], [14.0, 16.0, 14.0]]",2779,1725,844
"[[19.0, 19.0, 20.0], [19.0, 19.0, 1.0], [1.0, 1.0, 1.0]]",2779,1750,819
"[[5.0, 5.0, 5.0], [5.0, 5.0, 20.0], [15.0, 20.0, 20.0]]",2778,2064,506
"[[10.0, 5.0, 10.0], [7.0, 40.0, 8.0], [5.0, 10.0, 5.0]]",2777,2396,175
"[[5.0, 15.0, 25.0], [5.0, 10.0, 15.0], [5.0, 10.0, 10.0]]",2776,2230,342
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [4.0, 3.0, 3.0]]",2775,2264,309
"[[10.0, 5.0, 5.0], [5.0, 5.0, 25.0], [5.0, 25.0, 15.0]]",2775,2371,202
"[[8.0, 20.0, 8.0], [1.0, 20.0, 7.0], [8.0, 20.0, 8.0]]",2775,1983,590
"[[16.0, 16.0, 16.0], [16.0, 17.0, 16.0], [1.0, 1.0, 1.0]]",2775,2295,278
"[[3.0, 13.0, 13.0], [13.0, 3.0, 13.0], [13.0, 13.0, 16.0]]",2775,2365,208
"[[14.0, 14.0, 14.0], [14.0, 14.0, 15.0], [5.0, 5.0, 5.0]]",2775,2372,201
"[[16.0, 16.0, 16.0], [16.0, 17.0, 16.0], [1.0, 1.0, 1.0]]",2775,2295,278
"[[1.0, 1.0, 1.0], [23.0, 25.0, 24.0], [1.0, 23.0, 1.0]]",2774,2232,342
"[[1.0, 1.0, 2.0], [1.0, 19.0, 19.0], [19.0, 19.0, 19.0]]",2774,2202,372
"[[22.0, 1.0, 22.0], [1.0, 8.0, 1.0], [22.0, 1.0, 22.0]]",2774,2281,293
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 4.0, 3.0]]",2773,2256,319
"[[1.0, 2.0, 6.0], [6.0, 6.0, 16.0], [16.0, 21.0, 26.0]]",2773,2189,386
"[[15.0, 15.0, 15.0], [15.0, 15.0, 15.0], [3.0, 4.0, 3.0]]",2773,2256,319
